word_andi,word_chukchi
ми́шир,ми́шир
ми́шир,ми́шкIер
ми́шир,мищ/а́й
ми́шир,мищ/и́
ми́шир,мища́б
ми́шир,ми́щай
ми́шир,мища́йлалаб
ми́шир,ми́щайхаб_на́
ми́шир,мищащ/а́й
ми́шир,мищащ/и́
ми́шир,б=агъа́ргъир
ми́шир,б=агъаргъи́
ми́шир,мищи́_//_ми́щи
ми́шир,ми́щир
ми́шир,ми́щу-риква\лъи
ми́шир,ми́ъар
ми́шир,ми́ъар-гъва́ни_букьа́й
ми́шир,мо́да
ми́шир,мо́далъагъи
ми́шир,мо́рг
ми́шир,мо́рпи
ми́шир,мохъол
ми́шир,моцо́л
ми́шир,мочо́л
ми́шир,мо́чолде
ми́шир,муа́й
ми́шир,мугIали́м
ми́шир,мугIали́млъи
ми́шир,мугъ/а́й
ми́шир,мугъ/и́
ми́шир,мугъа́б
ми́шир,му́гъаб
ми́шир,мугъагъа́й
ми́шир,мугъа́й
ми́шир,мугъа́ймалаб
ми́шир,му́гъайр
ми́шир,б=агъа́ргъих=аб
ми́шир,му́гъайхаб
ми́шир,му́гъар
ми́шир,му́гъерхи
ми́шир,мугъи́
ми́шир,мугъиде́ра
ми́шир,му́гъидера
ми́шир,му́гъир
ми́шир,мугъихичIа́б
ми́шир,мугъичIа́_буки́
ми́шир,мугъичIа́б
ми́шир,му́гъичIа́б
ми́шир,му́гъичIвессуб
ми́шир,му́гъичIир
ми́шир,му́гъо_ба́цIай
ми́шир,му́гъу_букIи́р_бичча́й
ми́шир,му́гъу//мугъе́
ми́шир,му́гъул
ми́шир,мугъу́рлъи
ми́шир,б=агъуша́й
ми́шир,мугъу́ц
ми́шир,му́гъуц
ми́шир,мугьди́
ми́шир,му́гьр/у
ми́шир,му́гьру_букIа́й
ми́шир,му́гьуру
ми́шир,мужи́кI
ми́шир,мужи́кIццу
ми́шир,мужу́ру
ми́шир,б=агъуши́
ми́шир,музе́й
ми́шир,му́зика
ми́шир,музика́нт
ми́шир,муи́дара
ми́шир,муи́р
ми́шир,муичIа́б
ми́шир,мукIур/а́й
ми́шир,мукIур/и́
ми́шир,мукIура́_бигьа́
ми́шир,мукIу́ра/б
ми́шир,б=агъушуталъи́
ми́шир,мукIура́й
ми́шир,мукIу́райр
ми́шир,мукIури́
ми́шир,мукIу́рир
ми́шир,мукIуро́
ми́шир,му́къ/у
ми́шир,му́къаракьи
ми́шир,мукъсан/а́й
ми́шир,мукъсан/и́
ми́шир,б=агьата\лъи́
ми́шир,мукъса́наб
ми́шир,мукъса́нир
ми́шир,му́къу
ми́шир,му́л/и
ми́шир,мула́й
ми́шир,му́лир
ми́шир,муна́гь
ми́шир,муна́гьлIи
ми́шир,б=агьи́
ми́шир,а́гьлу
ми́шир,ЛЪÁБАЛА
ми́шир,муна́гьлълъи
ми́шир,мунапи́къ
ми́шир,мунапис
ми́шир,мунди́р
ми́шир,мупа́гIалъи
ми́шир,мупа́гIат
ми́шир,мура́д
ми́шир,муради́йаб
ми́шир,мура́длIи
ми́шир,мури́д
ми́шир,му́рха
ми́шир,му́рхай
ми́шир,му́рхалъиццуб
ми́шир,мурш
ми́шир,му́рш
ми́шир,мурши́д
ми́шир,му́с/а
ми́шир,му́са
ми́шир,му́сагучIа
ми́шир,му́сагучIи
ми́шир,му́саре
ми́шир,му́сахур
ми́шир,мусе-мусе́ку
ми́шир,мусе́ссу
ми́шир,муси-муса́
ми́шир,муси-мусе́
ми́шир,муси-мусе́ку
ми́шир,мусру
ми́шир,му́сру
ми́шир,мусс/ай
ми́шир,мусс/и́
ми́шир,муссасс/а́й
ми́шир,му́ссасс/и
ми́шир,муссасси́
ми́шир,мусси́
ми́шир,мусси́р
ми́шир,му́ссир
ми́шир,мустахIи́кълъигучаб
ми́шир,мутIигI/а́й
ми́шир,мутIигI/и́
ми́шир,мутIи́гIа/б
ми́шир,мутIи́гIир
ми́шир,мутIи́га=в
ми́шир,мутIига́й
ми́шир,мутIиги́
ми́шир,мута́гIил
ми́шир,му́х/а
ми́шир,му́х/у
ми́шир,б=агьиха́=б
ми́шир,мухIкан/а́й
ми́шир,мухIкан/и́
ми́шир,мухIка́на/б
ми́шир,му́хIканаб
ми́шир,мухIкана́й
ми́шир,мухIка́найр
ми́шир,мухIка́нго
ми́шир,мухIкани́
ми́шир,мухIкани́в//о́
ми́шир,мухIка́нир
ми́шир,мухIка́нлъи
ми́шир,мухIка́нлъигучIаб
ми́шир,мухIка́нлъигучIир
ми́шир,му́ха
ми́шир,му́ха_маси́
ми́шир,му́халъиццуб
ми́шир,мухби́р
ми́шир,мухе́кугучIаб
ми́шир,мухе́ссув
ми́шир,б=акъа́=б
ми́шир,му́ху
ми́шир,муху́лъи
ми́шир,муху́лъигучIаб
ми́шир,мухуми́къ/и
ми́шир,мухх/а́й
ми́шир,мухх/и́
ми́шир,му́ххаб_до́нги
ми́шир,му́ххата\лъи
ми́шир,муххаххи́
ми́шир,му́ххи
ми́шир,му́ххир
ми́шир,му́ххихаб
ми́шир,му́ххиццуб
ми́шир,му́хъелълъи
ми́шир,му́хъи
ми́шир,му́хъигучIаб
ми́шир,му́хъигучIабир
ми́шир,мухьу
ми́шир,му́хьу
ми́шир,муцIцI/е́
ми́шир,муцIцIе́
ми́шир,му́цIцIу
ми́шир,муч/а́й
ми́шир,муч/и́
ми́шир,б=акъа́й
ми́шир,ЛЪАБАЦIÁЙА
ми́шир,му́ч/у
ми́шир,му́ча
ми́шир,муча́б
ми́шир,муча́й
ми́шир,муча́йр
ми́шир,муча́ри
ми́шир,мучач/и́
ми́шир,мучи́
ми́шир,му́чир
ми́шир,мучиха́б
ми́шир,му́чу
ми́шир,мучу-лIени
ми́шир,мучу-лълъени
ми́шир,мучуласалъи
ми́шир,му́шка
ми́шир,му́шки
ми́шир,муштIу́кI
ми́шир,муштари
ми́шир,мушту́кI
ми́шир,муъми́на/в
ми́шир,му́ъмина=в
ми́шир,муъми́нир
ми́шир,н=уча́й
ми́шир,на
ми́шир,на́:
ми́шир,набо́йка
ми́шир,на́бти
ми́шир,б=акъа́ймала=б
ми́шир,нагIда́ла
ми́шир,на́гIил/у
ми́шир,нагIилу
ми́шир,нагIна́
ми́шир,нага́гь
ми́шир,нага́гь-надир
ми́шир,на́гучIаб
ми́шир,на́гучIи
ми́шир,на́гучIир
ми́шир,б=акъа́йр
ми́шир,нагъар
ми́шир,на́гъар
ми́шир,наджа́с
ми́шир,на́зм/у
ми́шир,на́зру
ми́шир,наи́б
ми́шир,наи́блъи
ми́шир,накI/ва́й
ми́шир,накI/у́й
ми́шир,на́кIва
ми́шир,накIва́й
ми́шир,на́кIвайр
ми́шир,на́кIвар
ми́шир,накIкIу́р
ми́шир,на́кIкIур
ми́шир,накIу́й
ми́шир,накIу́йхаб
ми́шир,на́кв/а
ми́шир,наква́
ми́шир,наква́р
ми́шир,накъи́ра
ми́шир,на́къищ
ми́шир,нало́г
ми́шир,на́лъ/и
ми́шир,налъи
ми́шир,на́лъула/в
ми́шир,на́лъулав
ми́шир,б=акъи́
ми́шир,на́лъулай
ми́шир,на́ма
ми́шир,наму́с
ми́шир,наму́са/б
ми́шир,на́н/и
ми́шир,на́на
ми́шир,на́натIир
ми́шир,на́ни
ми́шир,напа́къа
ми́шир,направле́ни
ми́шир,на́пс
ми́шир,наптали́н
ми́шир,на́пти
ми́шир,нарази́йаб_на
ми́шир,нарза́н
ми́шир,нарко́з
ми́шир,нарт
ми́шир,на́рта/в
ми́шир,на́ртав
ми́шир,на́сар
ми́шир,наси́баб
ми́шир,наси́лка
ми́шир,на́сл/у
ми́шир,на́слу
ми́шир,насо́с
ми́шир,насс/и́р
ми́шир,нассе́лъи
ми́шир,б=акъи́р
ми́шир,агьо́-агьа
ми́шир,ЛЪАБАЦIАЛИЛIА/Б
ми́шир,насси́р
ми́шир,насси́хIат
ми́шир,насси́хIат_игьи́
ми́шир,натIу́хI
ми́шир,нату́ра
ми́шир,нау́шник
ми́шир,наха́б
ми́шир,на́хата\лъи
ми́шир,на́хи_//_нахи́
ми́шир,на́хилъал
ми́шир,б=акъиха́=б
ми́шир,нахи́р
ми́шир,на́хир
ми́шир,нахиха́б
ми́шир,нахъе́гIанав
ми́шир,нахъе́гIанлъи
ми́шир,на́цIцI/и
ми́шир,нацци́зм
ми́шир,нацци́ст
ми́шир,б=акьада́хиссу=б
ми́шир,нача́лникI
ми́шир,нача́лникIибццуб
ми́шир,нача́лникIлъи
ми́шир,нача́лникIлъунлъо
ми́шир,начо́с
ми́шир,на́шар
ми́шир,на́ъагьи́ргъа_рукIиха́б
ми́шир,наъи
ми́шир,на́ъир
ми́шир,не́грав
ми́шир,не́грай
ми́шир,не́грал
ми́шир,нейло́н
ми́шир,не́мцав
ми́шир,не́мцай
ми́шир,не́мцал
ми́шир,не́мцалуб
ми́шир,не́рва
ми́шир,нигIма́т
ми́шир,ни́гат
ми́шир,нигъ/а́й
ми́шир,нигъа́й
ми́шир,нигъи́
ми́шир,б=алълъи́на
ми́шир,ни́гъир
ми́шир,ни́гъир-нишир_гучIа
ми́шир,ни́жу
ми́шир,низа́м
ми́шир,никI/и́
ми́шир,никIа-гьи́рчIу_ра́гьи_бегъиха́л
ми́шир,ни́кIир
ми́шир,никIиси
ми́шир,никати́н
ми́шир,ни́кил
ми́шир,ни́кку
ми́шир,никку́лъи_гъва́нилълъи
ми́шир,ни́кри
ми́шир,нине́йка
ми́шир,ниха́й
ми́шир,нихи́
ми́шир,ни́хи
ми́шир,ни́хилалъиссуб
ми́шир,б=алълъинаби́р
ми́шир,нихи́р
ми́шир,ни́хьу-на́хьу
ми́шир,нич
ми́шир,ни́ч/а
ми́шир,ни́ча
ми́шир,нича́рахи
ми́шир,ни́чбуху
ми́шир,ниш/и́
ми́шир,ни́шаб
ми́шир,ниши́
ми́шир,б=алълъина́й
ми́шир,ни́шир
ми́шир,ни́ширгучIаб
ми́шир,нишиха́б
ми́шир,нищи́
ми́шир,но:
ми́шир,нойа́бир
ми́шир,но́мир
ми́шир,но́рм/а
ми́шир,но́рма
ми́шир,но́рмагучIаб
ми́шир,но́рмагучIир
ми́шир,нугI
ми́шир,нугIджиз
ми́шир,нугIлъи́
ми́шир,нугIлъи́_гьи
ми́шир,ну́гъаб
ми́шир,нугъагъа́й
ми́шир,ну́гъай
ми́шир,б=алълъина́йр
ми́шир,ада́б
ми́шир,ЛЪАБÁЧIŌ
ми́шир,нугъа́йав
ми́шир,нугъа́йай
ми́шир,нугъа́йал
ми́шир,нугъа́яв
ми́шир,нугъа́яй
ми́шир,нугъа́ял
ми́шир,ну́гъичIир
ми́шир,ну́к/у
ми́шир,ну́кIа
ми́шир,нукIа́:да(да)
ми́шир,ну́кIада_бу́лълъаб
ми́шир,ну́кIадалIару_бесхъа́
ми́шир,нукIа́далъеру
ми́шир,нукIа́дассуб
ми́шир,ну́кIадассуб
ми́шир,нукIа́до
ми́шир,нука́бакьа
ми́шир,нука́баха
ми́шир,нука́р
ми́шир,ну́ку
ми́шир,б=алълъина́йхо=б
ми́шир,ну́ку-цIе́кIа_кIкIанди
ми́шир,нукул
ми́шир,нукулалъи_ххинкIа
ми́шир,нукулачIвессуб
ми́шир,нукучIе́ссуб
ми́шир,нул
ми́шир,ну́мер
ми́шир,ну́нуса/лъи
ми́шир,нунуса\лъи́
ми́шир,ну́нусар
ми́шир,б=алълъина́тахо=б
ми́шир,ну́нусахоб
ми́шир,нупа́гIалъи
ми́шир,нупа́гIалъилълъи
ми́шир,нур
ми́шир,ну́рлIи
ми́шир,ну́рццуб
ми́шир,ну́с/а
ми́шир,ну́са
ми́шир,б=алълъинаццу́=б
ми́шир,ну́сбетIер
ми́шир,ну́ссир
ми́шир,ну́хIилъи
ми́шир,нухлу́лав
ми́шир,нуцIцI/и́
ми́шир,нуцIцIаб_дунел
ми́шир,нуцIцIи́
ми́шир,нуцIцIир
ми́шир,ну́цIцIир
ми́шир,нуца́л
ми́шир,б=алълъини́
ми́шир,нуца́лай
ми́шир,ну́цаххир
ми́шир,нуца́ххир_//_ну́цаххир
ми́шир,нуч/и́
ми́шир,нуча́й
ми́шир,нуча́йр
ми́шир,нуча́р
ми́шир,нуча́та/лъи
ми́шир,ну́чатар
ми́шир,б=алълъини́р
ми́шир,нучач/и́
ми́шир,нучи́
ми́шир,нучи́р
ми́шир,обба́
ми́шир,обод/и́
ми́шир,обо́да/лъи
ми́шир,обо́далъи
ми́шир,ободи́
ми́шир,обо́дир
ми́шир,б=алълъинихичIаб
ми́шир,оваща́лъи
ми́шир,овоща́балъи
ми́шир,огь
ми́шир,огьогьо:й
ми́шир,огьогьо́й
ми́шир,одоман
ми́шир,ок/о́
ми́шир,око́л
ми́шир,о́круг
ми́шир,б=алълъиничIа́б
ми́шир,олозан
ми́шир,о́рдин
ми́шир,о́рдир
ми́шир,о́рс(с)ах(х)инду
ми́шир,о́рсса
ми́шир,орссва́нкъу
ми́шир,орссу
ми́шир,б=арахха́й
ми́шир,о́рссуку
ми́шир,о́рссукуссу=б
ми́шир,о́рссуссу=б
ми́шир,орссуххи́
ми́шир,осто́р
ми́шир,о́тпуска
ми́шир,отпускалъи́ссу
ми́шир,охIод/а́й
ми́шир,охIо́да/лъи
ми́шир,ЛЪÁБДА
ми́шир,охIо́да\лъи
ми́шир,охIоди́
ми́шир,охIо́дир
ми́шир,охIо́ду_била́й
ми́шир,о́хтур
ми́шир,охх
ми́шир,оххо́лилтерет
ми́шир,охьо́й
ми́шир,б=араххи́
ми́шир,оцба́й
ми́шир,оче́р_гучIа́да
ми́шир,о́чер/и
ми́шир,о́чир
ми́шир,о́ъо
ми́шир,оъо́дай
ми́шир,оъо́ди
ми́шир,оъодуталъи́
ми́шир,пIу́_бу́лълъу
ми́шир,па́брикIа
ми́шир,пави́дла
ми́шир,пави́ска
ми́шир,пагу́н
ми́шир,па́гьму
ми́шир,пада́р
ми́шир,пада́рав
ми́шир,пада́рай
ми́шир,б=араща́=б
ми́шир,пада́рал
ми́шир,падва́л
ми́шир,пади́шагь
ми́шир,пажа́рникI
ми́шир,пай
ми́шир,пайд/а́
ми́шир,пайда́
ми́шир,пайда́-гучIаб
ми́шир,пайда́-гучIир
ми́шир,б=араща́й
ми́шир,пайда́йи
ми́шир,пайда́лIи
ми́шир,пайда́лъи
ми́шир,пайда́лълъи
ми́шир,пайту́н
ми́шир,пайту́нчи
ми́шир,пакет
ми́шир,пакри́шка
ми́шир,пакъи́р
ми́шир,пакъи́ра/б
ми́шир,б=аращи́
ми́шир,пакъи́рзабалъилъи_гьанкъу
ми́шир,пал
ми́шир,пала́вка
ми́шир,палака́т
ми́шир,пала́н
ми́шир,пала́рсса
ми́шир,паласма́са
ми́шир,паласти́нка
ми́шир,пала́та
ми́шир,палате́нца
ми́шир,палати́нца
ми́шир,пала́тка
ми́шир,пала́ч
ми́шир,пала́щ
ми́шир,пали́ж
ми́шир,б=аращи́р
ми́шир,пали́пан
ми́шир,пали́панлъи
ми́шир,пали́тика
ми́шир,палити́чески
ми́шир,пали́хъан
ми́шир,пали́хъанлъи
ми́шир,палйа́кав
ми́шир,палйа́кай
ми́шир,б=аращиха́=б
ми́шир,палйа́кал
ми́шир,палйа́калуб_ми́цIцIи
ми́шир,палт/о́
ми́шир,палу́тарка
ми́шир,па́лхIассил
ми́шир,паме́щикI
ми́шир,памидо́р
ми́шир,пами́ли
ми́шир,пампа́
ми́шир,пана́
ми́шир,паналъ/а́й
ми́шир,паналъ/и́
ми́шир,паналъи́
ми́шир,пана́лъир
ми́шир,паналъиха́/б
ми́шир,пана́р
ми́шир,пана́рикI
ми́шир,б=ачIа́=б
ми́шир,ада́б-хIурма́т
ми́шир,ЛЪÁБДАБЕГЬЕН
ми́шир,пандур
ми́шир,пане́р
ми́шир,пане́ра
ми́шир,панкуйт
ми́шир,панта́н
ми́шир,пап/а́й
ми́шир,пап/и́
ми́шир,па́па
ми́шир,па́пар
ми́шир,б=ачIа́й
ми́шир,па́пи
ми́шир,па́пка
ми́шир,пара́
ми́шир,паравака́тор
ми́шир,паравака́ци
ми́шир,паравле́ни
ми́шир,параво́з
ми́шир,б=ачIи́
ми́шир,парагра́ма
ми́шир,парагу́л
ми́шир,пара́д
ми́шир,парази́йаб
ми́шир,пара́зникI
ми́шир,параи́гривател
ми́шир,парайавител
ми́шир,паракурату́ра
ми́шир,паракуро́р
ми́шир,б=егъи́
ми́шир,паракуро́рлъи
ми́шир,паракъалъи́
ми́шир,пара́къалъир
ми́шир,паракъат
ми́шир,пара́къат
ми́шир,пара́къата/б
ми́шир,паралета́ри
ми́шир,паралитариа́т
ми́шир,пара́лич
ми́шир,пара́лъи
ми́шир,парами́шленост
ми́шир,пара́нгав
ми́шир,пара́нгай
ми́шир,пара́нгал
ми́шир,парапага́нда
ми́шир,парапе́сор
ми́шир,парапи́ска
ми́шир,параре́ктор
ми́шир,парасти́н
ми́шир,парате́з
ми́шир,параце́нт
ми́шир,пара́чIубакьу
ми́шир,парашо́к
ми́шир,парашу́т
ми́шир,пард/а́й
ми́шир,пард/и́
ми́шир,парда́в
ми́шир,па́рдир
ми́шир,парз
ми́шир,парикма́хер
ми́шир,парикма́херски
ми́шир,парк
ми́шир,паркъад/а́й
ми́шир,паркъад/и́
ми́шир,па́ркъадир
ми́шир,паркъи́
ми́шир,па́ркъи
ми́шир,пармали́н
ми́шир,парпади́ла/лъи
ми́шир,парпади́лалъи
ми́шир,па́рпадилахоб
ми́шир,па́рпур
ми́шир,парсс
ми́шир,па́рсс/а
ми́шир,парсса́к
ми́шир,парсса́калуб
ми́шир,па́рт/а
ми́шир,па́рта
ми́шир,партако́л
ми́шир,парта́л
ми́шир,партве́л
ми́шир,па́рти
ми́шир,партиза́н
ми́шир,партиза́налуб
ми́шир,партиза́нлъи
ми́шир,партилъи_гучIо
ми́шир,парто́
ми́шир,па́рторг
ми́шир,па́ртук
ми́шир,пару́з
ми́шир,парх(х)ади́
ми́шир,па́рхади
ми́шир,б=егъи́р
ми́шир,ада́б-хъати́р
ми́шир,ЛЪÁБДА-ЛЪАБДА
ми́шир,пархела_багьи
ми́шир,пархх
ми́шир,па́рххадир
ми́шир,пархьва́т
ми́шир,па́рхьи
ми́шир,пархьи́хъан
ми́шир,пархьу́н
ми́шир,пархьу́на
ми́шир,парцига́р
ми́шир,парчча́хI
ми́шир,пасалъ/а́й
ми́шир,пасалъ/и́
ми́шир,паса́лъир
ми́шир,паса́т
ми́шир,паса́таб
ми́шир,паси́лка
ми́шир,паси́рка
ми́шир,па́спорт
ми́шир,пасси́хIа/б
ми́шир,пасси́хIлъи
ми́шир,пастIа́н
ми́шир,па́ста
ми́шир,пати́нка
ми́шир,патипо́н
ми́шир,па́тихIа
ми́шир,патиша́гь
ми́шир,патро́н
ми́шир,патронта́ш
ми́шир,патру́л
ми́шир,патру́лъи_гьи
ми́шир,патрун
ми́шир,пахо́д
ми́шир,па́хру
ми́шир,пахрулъи
ми́шир,па́хрулълъи
ми́шир,па́хьи
ми́шир,б=егъиха́=б
ми́шир,па́хьилъи
ми́шир,пача́
ми́шир,пача́лихъ
ми́шир,па́чка
ми́шир,пачча́хI
ми́шир,паша́
ми́шир,паши́зм
ми́шир,паши́ст
ми́шир,паши́сталу_би́дулав
ми́шир,пашлихъ
ми́шир,пашлу́хъ
ми́шир,пашман/а́й
ми́шир,пашман/и́
ми́шир,пашма́на/б
ми́шир,пашма́наб
ми́шир,пашмана́й
ми́шир,пашмани́
ми́шир,пашма́нир
ми́шир,пашма́нихаб
ми́шир,пашма́нлъи
ми́шир,пебра́л
ми́шир,певра́л
ми́шир,педеративный
ми́шир,педера́ци
ми́шир,пе́кIи
ми́шир,пе́кIиса/лъи
ми́шир,пе́кIисар
ми́шир,пе́кьу//пекьу́лъа
ми́шир,пел
ми́шир,пеле́нади_пудир
ми́шир,пеле́па
ми́шир,пе́лшер
ми́шир,пе́ни
ми́шир,пе́нси
ми́шир,пенсионе́р
ми́шир,пе́р/а
ми́шир,пе́ра
ми́шир,перево́чик
ми́шир,передави́к
ми́шир,передави́ца
ми́шир,переда́ча
ми́шир,б=егъичIа́
ми́шир,пере́никI
ми́шир,перз
ми́шир,пе́ркьу
ми́шир,пе́рлIел
ми́шир,пе́рм/а
ми́шир,пе́рма
ми́шир,пе́рсав
ми́шир,пе́рсай
ми́шир,ЛЪÁБДĒЛIА
ми́шир,пе́рсал
ми́шир,пе́рсалуб
ми́шир,перу́лъанкъу
ми́шир,перцIцIе́кI
ми́шир,перцо́вка
ми́шир,пе́рцу-чIени
ми́шир,пе́рццу
ми́шир,перчIчIу́н
ми́шир,пе́са
ми́шир,пестива́л
ми́шир,пете́р
ми́шир,петру́шка
ми́шир,печ
ми́шир,пе́ч
ми́шир,печа́тат
ми́шир,пече́ни
ми́шир,пе́шкIа
ми́шир,б=егъичIа́=б
ми́шир,пиани́на
ми́шир,пи́ва
ми́шир,пигIани́р
ми́шир,пигIани́ралу=б
ми́шир,пижа́ма
ми́шир,пи́зика
ми́шир,пи́зкултура
ми́шир,пи́кр/у
ми́шир,пи́кру
ми́шир,пи́кругучIир
ми́шир,пи́кругучIо
ми́шир,пикругьи́
ми́шир,пикрулъагъи́
ми́шир,пи́круса/лъи
ми́шир,пи́крусар
ми́шир,пи́кус
ми́шир,пил
ми́шир,пилаж
ми́шир,б=егъичIа́бир
ми́шир,пилармо́ни
ми́шир,пиласо́с
ми́шир,пили́тка
ми́шир,пило́соп
ми́шир,пилосо́пи
